"Number","Start date","Start station number","Start station","End date","End station number","End station","Bike number","Bike model","Total duration","Total duration (ms)"
"158447934","2026-05-31 23:05","300031","Islington Green, Angel","2026-05-31 23:40","200249","Queen Mary's, Mile End","62570","PBSC_EBIKE","34m 53s","2093662"
"158447935","2026-05-31 23:05","003482","Beaumont Street, Marylebone","2026-05-31 23:18","022179","Exhibition Road, Knightsbridge","59728","CLASSIC","12m 27s","747649"
"158447936","2026-05-31 23:05","200237","Parson's Green , Parson's Green","2026-05-31 23:09","300095","Michael Road, Walham Green","52607","CLASSIC","3m 49s","229838"
"158447920","2026-05-31 23:04","000975","Theobald's Road , Holborn","2026-05-31 23:14","300241","Handyside Street, King's Cross","57815","CLASSIC","10m 36s","636148"
"158447921","2026-05-31 23:04","000960","Hop Exchange, The Borough","2026-05-31 23:06","001216","Swan Street, The Borough","57288","CLASSIC","2m 32s","152633"
"158447922","2026-05-31 23:04","300253","Bermondsey Station, Bermondsey","2026-05-31 23:07","300059","The Blue, Bermondsey","59635","CLASSIC","3m 33s","213366"
"158447923","2026-05-31 23:04","300050","Walworth Square, Walworth","2026-05-31 23:31","003506","Stanhope Gate, Mayfair","53583","CLASSIC","27m 37s","1657587"
"158447925","2026-05-31 23:04","001142","Tooley Street, Bermondsey","2026-05-31 23:11","300059","The Blue, Bermondsey","59931","CLASSIC","7m 7s","427241"
"158447926","2026-05-31 23:04","003452","Panton Street, West End","2026-06-01 00:01","001010","Cartwright Gardens , Bloomsbury","59434","CLASSIC","56m 31s","3391198"
"158447927","2026-05-31 23:04","001027","Warwick Avenue Station, Maida Vale","2026-05-31 23:13","200118","Albert Street, Camden Town","62712","PBSC_EBIKE","8m 43s","523888"
"158447928","2026-05-31 23:04","200250","Cleveland Way, Stepney","2026-05-31 23:17","200037","Rectory Square, Stepney","60173","PBSC_EBIKE","12m 37s","757136"
"158447929","2026-05-31 23:04","003494","Foley Street, Fitzrovia","2026-05-31 23:17","010625","Penfold Street, Marylebone","56040","CLASSIC","12m 54s","774768"
"158447930","2026-05-31 23:05","200242","Merchant Street, Bow","2026-05-31 23:06","200242","Merchant Street, Bow","62827","PBSC_EBIKE","1m 39s","99363"
"158447912","2026-05-31 23:03","001227","Devonshire Terrace, Bayswater","2026-05-31 23:47","001096","Bayswater Road, Hyde Park","63492","PBSC_EBIKE","44m 5s","2645059"
"158447913","2026-05-31 23:03","000995","Little Argyll Street, West End","2026-05-31 23:11","300072","Broadley Terrace, Marylebone","62192","PBSC_EBIKE","8m 6s","486350"
"158447914","2026-05-31 23:03","001002","Holy Trinity Brompton, Knightsbridge","2026-05-31 23:27","001134","Warwick Road, Olympia","59210","CLASSIC","23m 35s","1415045"
"158447915","2026-05-31 23:03","300031","Islington Green, Angel","2026-05-31 23:24","200020","Shadwell Station, Shadwell","51210","CLASSIC","20m 38s","1238616"
"158447916","2026-05-31 23:03","001140","Grosvenor Road, Pimlico","2026-06-01 07:42","001106","Rampayne Street, Pimlico","51972","CLASSIC","8h 38m 33s","31113339"
"158447917","2026-05-31 23:04","300031","Islington Green, Angel","2026-05-31 23:12","300081","Haggerston Road, Haggerston","63049","PBSC_EBIKE","8m 54s","534128"
"158447918","2026-05-31 23:04","003452","Panton Street, West End","2026-05-31 23:18","200084","Doddington Grove, Kennington","56211","CLASSIC","14m 51s","891242"
"158447899","2026-05-31 23:02","300249","Westminster Pier, Westminster","2026-05-31 23:32","000960","Hop Exchange, The Borough","53637","CLASSIC","29m 57s","1797145"
"158447900","2026-05-31 23:02","200178","Buckingham Gate, Westminster","2026-05-31 23:23","002633","Palace Gardens Terrace, Notting Hill","53640","CLASSIC","21m 35s","1295505"
"158447901","2026-05-31 23:02","001037","Park Lane , Hyde Park","2026-05-31 23:23","001037","Park Lane , Hyde Park","52657","CLASSIC","21m 17s","1277534"
"158447902","2026-05-31 23:02","200246","Eagle Wharf Road, Hoxton","2026-05-31 23:02","200246","Eagle Wharf Road, Hoxton","62195","PBSC_EBIKE","8s","8642"
"158447904","2026-05-31 23:02","300081","Haggerston Road, Haggerston","2026-05-31 23:20","022177","Christian Street, Whitechapel","31132","CLASSIC","17m 41s","1061961"
"158447905","2026-05-31 23:02","300010","Surrey Lane, Battersea","2026-05-31 23:17","010628","Cleaver Street, Kennington","61121","PBSC_EBIKE","15m 19s","919974"
"158447906","2026-05-31 23:02","001162","Dorset Square, Marylebone","2026-05-31 23:22","001175","Mallory Street, Marylebone","52948","CLASSIC","19m 17s","1157661"
"158447907","2026-05-31 23:02","003494","Foley Street, Fitzrovia","2026-05-31 23:31","001116","Emperor's Gate, South Kensington","59087","CLASSIC","29m 6s","1746256"
"158447908","2026-05-31 23:02","001102","Leman Street, Aldgate","2026-05-31 23:12","002637","Bermondsey Street, Bermondsey","59825","CLASSIC","9m 43s","583235"
"158447909","2026-05-31 23:02","001002","Holy Trinity Brompton, Knightsbridge","2026-05-31 23:03","001002","Holy Trinity Brompton, Knightsbridge","52697","CLASSIC","25s","25027"
"158447910","2026-05-31 23:03","000972","Hampstead Road, Euston","2026-05-31 23:30","010624","Strata, Elephant & Castle","22403","CLASSIC","27m 38s","1658614"
"158447911","2026-05-31 23:03","003494","Foley Street, Fitzrovia","2026-05-31 23:31","002701","Columbia Road, Shoreditch","54611","CLASSIC","28m 19s","1699850"
"158447893","2026-05-31 23:01","001029","Windsor Terrace, Hoxton","2026-05-31 23:13","200047","Bethnal Green Garden, Bethnal Green","35259","CLASSIC","12m 16s","736825"
"158447894","2026-05-31 23:01","001133","Baylis Road, Waterloo","2026-05-31 23:24","003493","South Audley Street, Mayfair","56587","CLASSIC","22m 56s","1376625"
"158447895","2026-05-31 23:01","200251","Bow Road Station, Bow","2026-05-31 23:04","200255","Devons Road, Bow","52553","CLASSIC","2m 30s","150094"
"158447896","2026-05-31 23:01","001227","Devonshire Terrace, Bayswater","2026-05-31 23:12","200134","Albany Street, The Regent's Park","60414","PBSC_EBIKE","10m 58s","658024"
"158447897","2026-05-31 23:01","001077","Royal London Hospital, Whitechapel","2026-05-31 23:04","200033","Philpot Street, Whitechapel","52832","CLASSIC","2m 48s","168362"
"158447898","2026-05-31 23:01","300252","Canada Water Station, Rotherhithe","2026-05-31 23:48","300249","Westminster Pier, Westminster","55246","CLASSIC","46m 59s","2819497"
"158447886","2026-05-31 23:00","001227","Devonshire Terrace, Bayswater","2026-05-31 23:23","001227","Devonshire Terrace, Bayswater","62142","PBSC_EBIKE","23m 9s","1389241"
"158447888","2026-05-31 23:00","001163","Wardour Street, Soho","2026-05-31 23:16","001004","Doric Way , Somers Town","24293","CLASSIC","16m 35s","995959"
"158447889","2026-05-31 23:00","001050","Park Road (Baker Street), The Regent's Park","2026-05-31 23:10","200145","Gloucester Avenue, Camden Town","59652","CLASSIC","9m 49s","589772"
"158447890","2026-05-31 23:00","200157","Fournier Street, Whitechapel","2026-05-31 23:11","200012","Stepney Green Station, Stepney","51022","CLASSIC","11m 3s","663525"
"158447891","2026-05-31 23:00","002691","Howland Street, Fitzrovia","2026-05-31 23:07","001036","Crawford Street, Marylebone","41377","CLASSIC","6m 55s","415595"
"158447892","2026-05-31 23:01","200172","Lansdowne Road, Ladbroke Grove","2026-05-31 23:04","200111","Abbotsbury Road, Holland Park","42051","CLASSIC","3m 41s","221669"
"158447882","2026-05-31 22:59","001197","Sackville Street, Mayfair","2026-05-31 23:19","001219","Lower Marsh, Waterloo","57204","CLASSIC","20m 41s","1241971"
"158447883","2026-05-31 22:59","300233","Aquatic Centre, Queen Elizabeth Olympic Park","2026-05-31 23:07","300233","Aquatic Centre, Queen Elizabeth Olympic Park","40221","CLASSIC","7m 46s","466475"
"158447884","2026-05-31 22:59","300249","Westminster Pier, Westminster","2026-05-31 23:32","000960","Hop Exchange, The Borough","52314","CLASSIC","32m 21s","1941534"
"158447885","2026-05-31 23:00","200240","Ferndale Road, Brixton","2026-05-31 23:13","001190","Kennington Lane Rail Bridge, Vauxhall","40976","CLASSIC","13m 11s","791511"
"158447870","2026-05-31 22:58","003493","South Audley Street, Mayfair","2026-05-31 23:13","001147","Clifton Road, Maida Vale","53986","CLASSIC","15m 19s","919974"
"158447871","2026-05-31 22:58","001064","Old Street Station, St. Luke's","2026-05-31 23:01","200246","Eagle Wharf Road, Hoxton","62195","PBSC_EBIKE","3m 26s","206458"
"158447872","2026-05-31 22:58","001120","Chepstow Villas, Notting Hill","2026-05-31 23:21","001132","Albert Gate, Hyde Park","54926","CLASSIC","23m 21s","1401504"
"158447873","2026-05-31 22:58","300219","Here East South, Queen Elizabeth Olympic Park","2026-05-31 23:07","300227","Timber Lodge, Queen Elizabeth Olympic Park","23532","CLASSIC","8m 59s","539160"
"158447874","2026-05-31 22:58","200240","Ferndale Road, Brixton","2026-05-31 23:34","003496","St Mary's Hospital, Paddington","50592","CLASSIC","36m 9s","2169323"
"158447875","2026-05-31 22:58","300252","Canada Water Station, Rotherhithe","2026-05-31 23:31","300083","Duke Street Hill, London Bridge","59317","CLASSIC","32m 55s","1975575"
"158447876","2026-05-31 22:58","300030","Thorndike Close, West Chelsea","2026-05-31 23:02","300070","Imperial Wharf Station, Sands End","55197","CLASSIC","3m 56s","236298"
"158447877","2026-05-31 22:58","200066","Import Dock, Canary Wharf","2026-05-31 23:05","022178","Lindfield Street, Poplar","62763","PBSC_EBIKE","6m 32s","392777"
"158447878","2026-05-31 22:58","001197","Sackville Street, Mayfair","2026-05-31 23:19","001219","Lower Marsh, Waterloo","57842","CLASSIC","21m 1s","1261535"
"158447879","2026-05-31 22:58","002692","Waterloo Station 2, Waterloo","2026-05-31 23:14","300061","Crimscott Street, Bermondsey","54906","CLASSIC","15m 10s","910877"
"158447880","2026-05-31 22:58","001165","Riverlight North, Nine Elms","2026-05-31 23:05","300221","Battersea Power Station, Battersea Park","59009","CLASSIC","6m 40s","400632"
"158447881","2026-05-31 22:58","022171","Red Lion Street, Holborn","2026-05-31 23:04","001019","Ampton Street , Clerkenwell","90888","CLASSIC","5m 47s","347447"
"158447863","2026-05-31 22:57","300231","Lambeth Palace Road, Waterloo","2026-05-31 23:08","300036","Teversham Lane, Stockwell","51360","CLASSIC","11m 53s","713098"
"158447864","2026-05-31 22:57","002679","George Row, Bermondsey","2026-05-31 23:18","300040","Ada Street, Hackney Central","58060","CLASSIC","21m 26s","1286532"
"158447865","2026-05-31 22:57","200096","Green Park Station, Mayfair","2026-05-31 23:10","001112","Nutford Place, Marylebone","55686","CLASSIC","13m 39s","819254"
"158447866","2026-05-31 22:57","001190","Kennington Lane Rail Bridge, Vauxhall","2026-05-31 23:17","003499","Prince Consort Road, Knightsbridge","54952","CLASSIC","20m 0s","1200243"
"158447867","2026-05-31 22:57","001120","Chepstow Villas, Notting Hill","2026-05-31 23:21","001132","Albert Gate, Hyde Park","53656","CLASSIC","24m 12s","1452399"
"158447868","2026-05-31 22:57","300083","Duke Street Hill, London Bridge","2026-05-31 23:01","001189","Long Lane , Bermondsey","56209","CLASSIC","3m 43s","223968"
"158447869","2026-05-31 22:57","300079","London Street, Paddington","2026-05-31 23:02","001178","Cleveland Gardens, Bayswater","56094","CLASSIC","4m 55s","295143"
"158447852","2026-05-31 22:56","300065","Clapham Common North Side, Clapham Common","2026-05-31 23:07","200079","Ram Street, Wandsworth","56046","CLASSIC","11m 2s","662297"
"158447853","2026-05-31 22:56","001177","Seville Street, Knightsbridge","2026-05-31 23:11","001160","Craven Street, Strand","52918","CLASSIC","14m 58s","898687"
"158447854","2026-05-31 22:56","300202","Kings Gate House, Westminster","2026-05-31 23:27","000973","Bethnal Green Road, Shoreditch","30525","CLASSIC","30m 45s","1845447"
"158447855","2026-05-31 22:56","200081","Coomer Place, West Kensington","2026-05-31 23:03","003479","Old Brompton Road, South Kensington","62255","PBSC_EBIKE","7m 14s","434068"
"158447856","2026-05-31 22:56","300065","Clapham Common North Side, Clapham Common","2026-05-31 23:06","200079","Ram Street, Wandsworth","57031","CLASSIC","10m 12s","612078"
"158447857","2026-05-31 22:56","001120","Chepstow Villas, Notting Hill","2026-05-31 23:48","001131","Graham Street, Angel","62804","PBSC_EBIKE","51m 36s","3096503"
"158447858","2026-05-31 22:56","200060","Drayton Gardens, West Chelsea","2026-05-31 23:07","001103","Gloucester Street, Pimlico","62885","PBSC_EBIKE","11m 11s","671103"
"158447859","2026-05-31 22:56","001105","LMU Commercial Road, Whitechapel","2026-05-31 22:58","003430","Central House, Aldgate","62931","PBSC_EBIKE","1m 20s","80921"
"158447860","2026-05-31 22:56","300005","Ethelburga Estate, Battersea Park","2026-05-31 23:04","300100","Limburg Road, Clapham Junction","62861","PBSC_EBIKE","7m 38s","458688"
"158447861","2026-05-31 22:56","001177","Seville Street, Knightsbridge","2026-05-31 23:11","001160","Craven Street, Strand","58634","CLASSIC","14m 19s","859023"
"158447862","2026-05-31 22:57","003436","Derry Street, Kensington","2026-05-31 23:06","200098","Aintree Street, Fulham","54027","CLASSIC","9m 46s","586058"
"158447848","2026-05-31 22:55","200250","Cleveland Way, Stepney","2026-05-31 23:08","300039","Wendon Street, Old Ford","40872","CLASSIC","13m 1s","781324"
"158447849","2026-05-31 22:55","001170","Horseferry Road, Westminster","2026-05-31 23:00","001103","Gloucester Street, Pimlico","57436","CLASSIC","5m 1s","301610"
"158447850","2026-05-31 22:55","022169","Wren Street, Holborn","2026-05-31 23:00","300212","Birkenhead Street, King's Cross","52911","CLASSIC","4m 14s","254431"
"158447851","2026-05-31 22:56","003433","Sadlers Sports Centre, Finsbury","2026-05-31 23:22","000998","Lollard Street, Vauxhall","55049","CLASSIC","26m 22s","1582841"
"158447836","2026-05-31 22:54","200244","Hollybush Gardens, Bethnal Green","2026-05-31 23:04","200256","Sutton Street, Shadwell","35261","CLASSIC","10m 34s","634020"
"158447837","2026-05-31 22:54","002691","Howland Street, Fitzrovia","2026-05-31 23:06","001176","Waterloo Road, South Bank","51534","CLASSIC","12m 16s","736107"
"158447838","2026-05-31 22:54","300206","Saltoun Road, Brixton","2026-05-31 23:12","200132","Gaywood  Street, Elephant & Castle","54431","CLASSIC","17m 42s","1062393"
"158447839","2026-05-31 22:54","001182","Notting Hill Gate Station, Notting Hill","2026-05-31 23:02","300034","St. Mark's Road, North Kensington","52728","CLASSIC","8m 3s","483260"
"158447840","2026-05-31 22:54","300206","Saltoun Road, Brixton","2026-05-31 23:12","200132","Gaywood  Street, Elephant & Castle","53303","CLASSIC","17m 30s","1050432"
"158447841","2026-05-31 22:54","300249","Westminster Pier, Westminster","2026-05-31 23:18","001087","Belgrave Road, Victoria","50832","CLASSIC","24m 12s","1452447"
"158447842","2026-05-31 22:54","001145","Bucknall Street, Covent Garden","2026-05-31 23:01","001011","Argyle Street, Kings Cross","51748","CLASSIC","7m 13s","433345"
"158447843","2026-05-31 22:54","002703","Fire Brigade Pier, Vauxhall","2026-05-31 22:57","200048","Page Street, Westminster","54148","CLASSIC","3m 7s","187756"
"158447844","2026-05-31 22:54","001210","Nevern Place, Earl's Court","2026-05-31 22:59","002677","Natural History Museum, South Kensington","55880","CLASSIC","4m 48s","288079"
"158447845","2026-05-31 22:54","001182","Notting Hill Gate Station, Notting Hill","2026-05-31 23:02","300034","St. Mark's Road, North Kensington","50913","CLASSIC","8m 1s","481102"
"158447846","2026-05-31 22:54","001142","Tooley Street, Bermondsey","2026-05-31 23:17","300063","Burgess Park Albany Road, Walworth","62461","PBSC_EBIKE","22m 39s","1359432"
"158447847","2026-05-31 22:55","200048","Page Street, Westminster","2026-05-31 23:13","200189","Phene Street, Chelsea","50696","CLASSIC","18m 46s","1126517"
"158447817","2026-05-31 22:53","300079","London Street, Paddington","2026-05-31 23:00","300093","Park Lane, Mayfair","57881","CLASSIC","7m 46s","466133"
"158447818","2026-05-31 22:53","200105","Bonny Street, Camden Town","2026-05-31 23:17","001135","Claverton Street, Pimlico","60166","PBSC_EBIKE","24m 29s","1469161"
"158447819","2026-05-31 22:53","003490","Southwick Street, Paddington","2026-05-31 22:55","003496","St Mary's Hospital, Paddington","51388","CLASSIC","2m 2s","122238"
"158447820","2026-05-31 22:53","001201","Bank of England Museum, Bank","2026-05-31 23:09","001212","Concert Hall Approach, South Bank","30231","CLASSIC","16m 21s","981852"
"158447821","2026-05-31 22:53","000989","Murray Grove , Hoxton","2026-05-31 22:57","200051","Percival Street, Finsbury","57426","CLASSIC","4m 11s","251567"
"158447822","2026-05-31 22:53","300249","Westminster Pier, Westminster","2026-05-31 23:18","001087","Belgrave Road, Victoria","40056","CLASSIC","25m 20s","1520531"
"158447823","2026-05-31 22:53","003490","Southwick Street, Paddington","2026-05-31 23:11","001136","London Zoo,  The Regent's Park","53058","CLASSIC","18m 26s","1106855"
"158447824","2026-05-31 22:53","001028","William IV Street, Strand","2026-05-31 23:04","001208","Dickens Square, Borough","62754","PBSC_EBIKE","10m 39s","639660"
"158447825","2026-05-31 22:53","300093","Park Lane, Mayfair","2026-05-31 23:13","300050","Walworth Square, Walworth","63441","PBSC_EBIKE","20m 21s","1221207"
"158447826","2026-05-31 22:53","001207","Tavistock Street, Covent Garden","2026-05-31 23:12","200083","Pritchard's Road, Bethnal Green","50447","CLASSIC","19m 28s","1168601"
"158447827","2026-05-31 22:53","001089","Queen's Gate (Central), South Kensington","2026-05-31 22:57","200060","Drayton Gardens, West Chelsea","59776","CLASSIC","3m 27s","207869"
"158447828","2026-05-31 22:53","001116","Emperor's Gate, South Kensington","2026-05-31 23:09","200108","Bishop's Bridge Road East, Bayswater","58810","CLASSIC","16m 3s","963322"
"158447829","2026-05-31 22:53","003490","Southwick Street, Paddington","2026-05-31 23:11","001136","London Zoo,  The Regent's Park","52237","CLASSIC","18m 3s","1083545"
"158447830","2026-05-31 22:53","000997","Worship Street, Shoreditch","2026-05-31 23:12","300249","Westminster Pier, Westminster","53497","CLASSIC","18m 37s","1117958"
"158447831","2026-05-31 22:53","001142","Tooley Street, Bermondsey","2026-05-31 23:48","001142","Tooley Street, Bermondsey","57289","CLASSIC","54m 29s","3269036"
"158447832","2026-05-31 22:53","001183","Bramham Gardens, Earl's Court","2026-05-31 23:12","001028","William IV Street, Strand","55387","CLASSIC","18m 41s","1121915"
"158447833","2026-05-31 22:54","001226","Macclesfield Rd, St Lukes","2026-05-31 23:18","200084","Doddington Grove, Kennington","35302","CLASSIC","24m 48s","1488128"
"158447834","2026-05-31 22:54","300206","Saltoun Road, Brixton","2026-05-31 23:11","200132","Gaywood  Street, Elephant & Castle","57987","CLASSIC","17m 45s","1065046"
"158447835","2026-05-31 22:54","001142","Tooley Street, Bermondsey","2026-05-31 23:48","001142","Tooley Street, Bermondsey","59578","CLASSIC","54m 24s","3264719"
"158447809","2026-05-31 22:52","003452","Panton Street, West End","2026-05-31 23:14","001095","LSBU (Borough Road), Elephant & Castle","62948","PBSC_EBIKE","22m 41s","1361776"
"158447810","2026-05-31 22:52","300206","Saltoun Road, Brixton","2026-05-31 23:10","300065","Clapham Common North Side, Clapham Common","62689","PBSC_EBIKE","18m 50s","1130768"
"158447811","2026-05-31 22:52","200145","Gloucester Avenue, Camden Town","2026-05-31 23:10","000985","Hatton Garden, Holborn","60410","PBSC_EBIKE","17m 57s","1077056"
"158447812","2026-05-31 22:52","001197","Sackville Street, Mayfair","2026-05-31 23:04","001030","Lisson Grove, St. John's Wood","51441","CLASSIC","12m 38s","758602"
"158447813","2026-05-31 22:52","001211","Bunhill Row, Moorgate","2026-05-31 23:03","200152","Pitfield Street North,Hoxton","21983","CLASSIC","11m 12s","672183"
"158447814","2026-05-31 22:52","001138","Elizabeth Bridge, Victoria","2026-05-31 23:03","300005","Ethelburga Estate, Battersea Park","62888","PBSC_EBIKE","10m 39s","639907"
"158447815","2026-05-31 22:52","003480","Smith Square, Westminster","2026-05-31 23:22","001138","Elizabeth Bridge, Victoria","52707","CLASSIC","29m 38s","1778396"
"158447816","2026-05-31 22:53","022179","Exhibition Road, Knightsbridge","2026-05-31 23:34","300086","Fulham Broadway, Walham Green","53617","CLASSIC","41m 14s","2474327"
"158447802","2026-05-31 22:51","001166","Bell Street , Marylebone","2026-06-01 00:06","001166","Bell Street , Marylebone","62101","PBSC_EBIKE","1h 15m 20s","4520124"
"158447803","2026-05-31 22:51","003480","Smith Square, Westminster","2026-05-31 23:12","200017","Lancaster Gate , Bayswater","62707","PBSC_EBIKE","21m 9s","1269765"
"158447804","2026-05-31 22:51","300081","Haggerston Road, Haggerston","2026-05-31 23:29","003481","Rodney Road , Walworth","22790","CLASSIC","37m 42s","2262935"
"158447805","2026-05-31 22:51","300081","Haggerston Road, Haggerston","2026-05-31 23:15","300083","Duke Street Hill, London Bridge","58865","CLASSIC","23m 29s","1409873"
"158447806","2026-05-31 22:51","001182","Notting Hill Gate Station, Notting Hill","2026-05-31 23:04","001001","West Cromwell Road, Earl's Court","56215","CLASSIC","13m 10s","790276"
"158447808","2026-05-31 22:51","200011","Furze Green, Bow","2026-05-31 23:20","200230","Maplin Street, Mile End","58891","CLASSIC","28m 48s","1728055"
"158447792","2026-05-31 22:50","001177","Seville Street, Knightsbridge","2026-05-31 23:02","300030","Thorndike Close, West Chelsea","62130","PBSC_EBIKE","12m 5s","725502"
"158447793","2026-05-31 22:50","200011","Furze Green, Bow","2026-05-31 23:20","200230","Maplin Street, Mile End","56193","CLASSIC","30m 29s","1829242"
"158447794","2026-05-31 22:50","001097","Northumberland Avenue, Strand","2026-05-31 23:12","001036","Crawford Street, Marylebone","50877","CLASSIC","22m 22s","1342611"
"158447795","2026-05-31 22:50","001097","Northumberland Avenue, Strand","2026-05-31 23:12","001036","Crawford Street, Marylebone","35203","CLASSIC","22m 19s","1339405"
"158447796","2026-05-31 22:50","200118","Albert Street, Camden Town","2026-05-31 23:06","002693","Shouldham Street, Marylebone","58202","CLASSIC","15m 54s","954377"
"158447798","2026-05-31 22:50","001182","Notting Hill Gate Station, Notting Hill","2026-05-31 23:04","001001","West Cromwell Road, Earl's Court","55768","CLASSIC","14m 22s","862425"
"158447799","2026-05-31 22:50","200011","Furze Green, Bow","2026-05-31 22:51","200011","Furze Green, Bow","54462","CLASSIC","29s","29651"
"158447800","2026-05-31 22:50","300020","West Kensington Station, West Kensington","2026-05-31 23:00","200229","Fulham Park Road, Fulham","56909","CLASSIC","9m 17s","557149"
"158447801","2026-05-31 22:50","001053","Clerkenwell Green, Clerkenwell","2026-05-31 23:17","300048","Stainsby Road , Poplar","56080","CLASSIC","27m 2s","1622226"
"158447785","2026-05-31 22:49","200249","Queen Mary's, Mile End","2026-05-31 23:01","200249","Queen Mary's, Mile End","59267","CLASSIC","11m 59s","719749"
"158447786","2026-05-31 22:49","200098","Aintree Street, Fulham","2026-05-31 22:54","300052","Parsons Green Station, Parsons Green","30494","CLASSIC","4m 59s","299181"
"158447787","2026-05-31 22:49","003477","Porchester Place, Paddington","2026-05-31 22:58","002677","Natural History Museum, South Kensington","63035","PBSC_EBIKE","9m 19s","559121"
"158447788","2026-05-31 22:49","001197","Sackville Street, Mayfair","2026-05-31 23:07","001016","Hereford Road, Bayswater","63045","PBSC_EBIKE","17m 18s","1038053"
"158447789","2026-05-31 22:49","002690","City Road, Angel","2026-05-31 22:59","300092","Hertford Road, De Beauvoir Town","51879","CLASSIC","9m 47s","587893"
"158447790","2026-05-31 22:50","300206","Saltoun Road, Brixton","2026-05-31 22:57","300036","Teversham Lane, Stockwell","23393","CLASSIC","7m 38s","458164"
"158447791","2026-05-31 22:50","001066","Calshot Street , King's Cross","2026-05-31 23:28","022178","Lindfield Street, Poplar","63039","PBSC_EBIKE","38m 18s","2298525"
"158447774","2026-05-31 22:48","200255","Devons Road, Bow","2026-05-31 23:16","300050","Walworth Square, Walworth","42006","CLASSIC","27m 47s","1667235"
"158447775","2026-05-31 22:48","001049","Finsbury Leisure Centre, St. Luke's","2026-05-31 23:00","200083","Pritchard's Road, Bethnal Green","64156","PBSC_EBIKE","12m 31s","751223"
"158447776","2026-05-31 22:48","200101","Monument Street, Monument","2026-05-31 23:01","022170","Kennington Station, Kennington","53250","CLASSIC","13m 39s","819242"
"158447777","2026-05-31 22:48","200070","Arlington Road, Camden Town","2026-05-31 23:10","200070","Arlington Road, Camden Town","40558","CLASSIC","22m 45s","1365869"
"158447778","2026-05-31 22:48","300249","Westminster Pier, Westminster","2026-05-31 23:23","200255","Devons Road, Bow","63199","PBSC_EBIKE","35m 16s","2116945"
"158447779","2026-05-31 22:48","200227","Westfield Library Corner, Shepherd's Bush","2026-05-31 23:09","002685","South Kensington Station, South Kensington","60160","PBSC_EBIKE","20m 35s","1235651"
"158447780","2026-05-31 22:48","001006","Percy Street, Bloomsbury","2026-05-31 22:56","001053","Clerkenwell Green, Clerkenwell","60447","PBSC_EBIKE","8m 2s","482604"
"158447781","2026-05-31 22:48","002690","City Road, Angel","2026-05-31 22:59","300092","Hertford Road, De Beauvoir Town","51890","CLASSIC","11m 1s","661706"
"158447782","2026-05-31 22:49","300206","Saltoun Road, Brixton","2026-05-31 22:59","200023","Heath Road, Battersea","60439","PBSC_EBIKE","10m 2s","602705"
"158447783","2026-05-31 22:49","200154","Hansard Mews, Holland Park","2026-05-31 23:05","200154","Hansard Mews, Holland Park","57366","CLASSIC","16m 40s","1000815"
"158447784","2026-05-31 22:49","003423","Maida Vale, Maida Vale","2026-05-31 23:15","001226","Macclesfield Rd, St Lukes","54540","CLASSIC","26m 30s","1590697"
"158447757","2026-05-31 22:47","001052","Soho Square , Soho","2026-05-31 23:01","001117","Lambeth North Station, Waterloo","64166","PBSC_EBIKE","13m 57s","837451"
"158447758","2026-05-31 22:47","200054","Jubilee Crescent, Cubitt Town","2026-05-31 23:09","200054","Jubilee Crescent, Cubitt Town","57367","CLASSIC","21m 53s","1313173"
"158447759","2026-05-31 22:47","003465","Eccleston Place, Victoria","2026-05-31 23:03","003477","Porchester Place, Paddington","55425","CLASSIC","16m 16s","976058"
"158447760","2026-05-31 22:47","001120","Chepstow Villas, Notting Hill","2026-05-31 23:04","200080","Russell Gardens, Olympia","59280","CLASSIC","17m 30s","1050861"
"158447761","2026-05-31 22:47","001052","Soho Square , Soho","2026-05-31 23:01","001117","Lambeth North Station, Waterloo","62194","PBSC_EBIKE","13m 40s","820064"
"158447762","2026-05-31 22:47","001052","Soho Square , Soho","2026-05-31 23:01","001117","Lambeth North Station, Waterloo","63012","PBSC_EBIKE","13m 41s","821462"
"158447763","2026-05-31 22:47","001052","Soho Square , Soho","2026-05-31 23:01","001117","Lambeth North Station, Waterloo","63534","PBSC_EBIKE","13m 35s","815311"
"158447764","2026-05-31 22:47","200240","Ferndale Road, Brixton","2026-05-31 23:13","200229","Fulham Park Road, Fulham","62209","PBSC_EBIKE","25m 48s","1548999"
"158447765","2026-05-31 22:47","200251","Bow Road Station, Bow","2026-05-31 23:10","200251","Bow Road Station, Bow","58421","CLASSIC","22m 45s","1365530"
"158447766","2026-05-31 22:47","200070","Arlington Road, Camden Town","2026-05-31 23:11","200070","Arlington Road, Camden Town","54923","CLASSIC","23m 51s","1431128"
"158447767","2026-05-31 22:47","200255","Devons Road, Bow","2026-05-31 23:59","200011","Furze Green, Bow","60449","PBSC_EBIKE","1h 11m 49s","4309089"
"158447768","2026-05-31 22:47","200240","Ferndale Road, Brixton","2026-05-31 23:13","200229","Fulham Park Road, Fulham","60309","PBSC_EBIKE","25m 39s","1539374"
"158447769","2026-05-31 22:47","003464","Green Street, Mayfair","2026-05-31 23:04","001182","Notting Hill Gate Station, Notting Hill","50625","CLASSIC","16m 56s","1016226"
"158447770","2026-05-31 22:47","001091","St. John's Wood Church, The Regent's Park","2026-05-31 23:08","001029","Windsor Terrace, Hoxton","62066","PBSC_EBIKE","20m 35s","1235811"
