"Number","Start date","Start station number","Start station","End date","End station number","End station","Bike number","Bike model","Total duration","Total duration (ms)"
"158448096","2026-05-31 23:26","001109","Wellington Arch, Hyde Park","2026-06-01 03:49","300217","Here East North, Queen Elizabeth Olympic Park","53504","CLASSIC","4h 22m 56s","15776247"
"158448097","2026-05-31 23:27","001011","Argyle Street, Kings Cross","2026-05-31 23:30","001022","Brunswick Square, Bloomsbury","53426","CLASSIC","3m 28s","208780"
"158448089","2026-05-31 23:25","200097","Beryl Road, Hammersmith","2026-05-31 23:36","200040","Broomhouse Lane, Parsons Green","53090","CLASSIC","11m 15s","675337"
"158448090","2026-05-31 23:25","001179","Chelsea Green, Chelsea","2026-05-31 23:30","002685","South Kensington Station, South Kensington","58978","CLASSIC","4m 42s","282227"
"158448080","2026-05-31 23:24","200025","London Fields, Hackney Central","2026-05-31 23:44","200102","Harford Street, Mile End","50381","CLASSIC","20m 36s","1236793"
"158448081","2026-05-31 23:24","001197","Sackville Street, Mayfair","2026-05-31 23:54","001062","Braham Street, Aldgate","62369","PBSC_EBIKE","29m 52s","1792528"
"158448082","2026-05-31 23:24","022158","Exhibition Road Museums 1, South Kensington","2026-06-01 00:30","022179","Exhibition Road, Knightsbridge","23023","CLASSIC","1h 6m 0s","3960910"
"158448083","2026-05-31 23:24","022158","Exhibition Road Museums 1, South Kensington","2026-06-01 00:30","022179","Exhibition Road, Knightsbridge","55259","CLASSIC","1h 5m 48s","3948527"
"158448084","2026-05-31 23:24","001075","Hyde Park Corner, Hyde Park","2026-05-31 23:49","300049","Aylward Street, Stepney","62671","PBSC_EBIKE","25m 24s","1524654"
"158448085","2026-05-31 23:24","003481","Rodney Road , Walworth","2026-05-31 23:34","001209","Empire Square, The Borough","56863","CLASSIC","9m 41s","581696"
"158448086","2026-05-31 23:24","200033","Philpot Street, Whitechapel","2026-05-31 23:27","200002","Jubilee Street, Stepney","57402","CLASSIC","2m 51s","171620"
"158448087","2026-05-31 23:25","001207","Tavistock Street, Covent Garden","2026-05-31 23:46","300004","Harris Academy, Bermondsey","53373","CLASSIC","21m 3s","1263058"
"158448088","2026-05-31 23:24","022175","Canton Street, Poplar","2026-05-31 23:44","200014","Gunmakers Lane, Old Ford","58503","CLASSIC","19m 35s","1175800"
"158448073","2026-05-31 23:23","001153","Pall Mall East, West End","2026-05-31 23:47","000966","New Kent Road, The Borough","57148","CLASSIC","24m 11s","1451762"
"158448074","2026-05-31 23:23","200060","Drayton Gardens, West Chelsea","2026-05-31 23:33","200040","Broomhouse Lane, Parsons Green","64197","PBSC_EBIKE","10m 35s","635778"
"158448075","2026-05-31 23:23","000995","Little Argyll Street, West End","2026-05-31 23:33","003452","Panton Street, West End","63314","PBSC_EBIKE","10m 17s","617820"
"158448076","2026-05-31 23:23","300234","Stratford Station, Stratford","2026-05-31 23:33","200255","Devons Road, Bow","63130","PBSC_EBIKE","10m 15s","615299"
"158448077","2026-05-31 23:23","300069","Harcourt Terrace, West Brompton","2026-05-31 23:41","003479","Old Brompton Road, South Kensington","52030","CLASSIC","17m 51s","1071872"
"158448078","2026-05-31 23:23","003481","Rodney Road , Walworth","2026-05-31 23:24","003481","Rodney Road , Walworth","40298","CLASSIC","20s","20939"
"158448079","2026-05-31 23:23","200209","Shepherd's Bush Road North, Shepherd's Bush","2026-05-31 23:32","001143","Kensington Church Street, Kensington","62619","PBSC_EBIKE","8m 38s","518050"
"158448065","2026-05-31 23:22","001227","Devonshire Terrace, Bayswater","2026-05-31 23:29","001175","Mallory Street, Marylebone","63415","PBSC_EBIKE","7m 31s","451128"
"158448066","2026-05-31 23:22","300015","Binfield Road, Stockwell","2026-05-31 23:24","300036","Teversham Lane, Stockwell","56463","CLASSIC","2m 19s","139638"
"158448067","2026-05-31 23:22","001097","Northumberland Avenue, Strand","2026-06-01 00:00","200022","Saunders Ness Road, Cubitt Town","55767","CLASSIC","37m 57s","2277122"
"158448068","2026-05-31 23:22","200137","Caldwell Street, Stockwell","2026-05-31 23:37","001189","Long Lane , Bermondsey","57379","CLASSIC","14m 10s","850454"
"158448069","2026-05-31 23:23","003430","Central House, Aldgate","2026-05-31 23:38","200102","Harford Street, Mile End","22471","CLASSIC","15m 1s","901590"
"158448070","2026-05-31 23:23","001097","Northumberland Avenue, Strand","2026-06-01 00:00","200022","Saunders Ness Road, Cubitt Town","58650","CLASSIC","37m 54s","2274924"
"158448071","2026-05-31 23:23","001227","Devonshire Terrace, Bayswater","2026-05-31 23:26","003496","St Mary's Hospital, Paddington","54361","CLASSIC","3m 1s","181341"
"158448072","2026-05-31 23:23","003427","Fanshaw Street, Hoxton","2026-05-31 23:31","001223","Buxton Street 1, Shoreditch","53610","CLASSIC","8m 1s","481041"
"158448060","2026-05-31 23:21","003445","Shoreditch High Street, Shoreditch","2026-05-31 23:35","003448","Webber Street , Southwark","56562","CLASSIC","14m 45s","885257"
"158448061","2026-05-31 23:21","001015","New Globe Walk, Bankside","2026-05-31 23:52","300215","St John's Crescent, Brixton","57357","CLASSIC","31m 28s","1888489"
"158448062","2026-05-31 23:21","300049","Aylward Street, Stepney","2026-05-31 23:28","200147","Salmon Lane, Limehouse","53717","CLASSIC","7m 19s","439760"
"158448063","2026-05-31 23:21","200184","Erin Close, Walham Green","2026-05-31 23:26","300087","Imperial Road, Sands End","59871","CLASSIC","5m 27s","327685"
"158448064","2026-05-31 23:22","200250","Cleveland Way, Stepney","2026-05-31 23:29","200167","Twig Folly Bridge, Mile End","53869","CLASSIC","7m 25s","445697"
"158448053","2026-05-31 23:20","003452","Panton Street, West End","2026-05-31 23:36","001205","Black Prince Road, Vauxhall","54046","CLASSIC","16m 42s","1002211"
"158448054","2026-05-31 23:20","002678","Farm Street, Mayfair","2026-05-31 23:35","200056","Vauxhall Walk, Vauxhall","62388","PBSC_EBIKE","15m 0s","900392"
"158448055","2026-05-31 23:20","002691","Howland Street, Fitzrovia","2026-05-31 23:33","001066","Calshot Street , King's Cross","21074","CLASSIC","13m 6s","786372"
"158448056","2026-05-31 23:20","001107","Gloucester Road Station, South Kensington","2026-05-31 23:30","001107","Gloucester Road Station, South Kensington","41453","CLASSIC","9m 53s","593054"
"158448057","2026-05-31 23:20","001213","Curlew Street, Shad Thames","2026-05-31 23:35","001209","Empire Square, The Borough","53522","CLASSIC","15m 8s","908863"
"158448058","2026-05-31 23:20","001071","Tower Gardens , Tower","2026-05-31 23:28","200090","Pennington Street, Wapping","35507","CLASSIC","7m 21s","441628"
"158448059","2026-05-31 23:20","300237","Tate Modern, Bankside","2026-05-31 23:37","200135","Selby Street, Whitechapel","62789","PBSC_EBIKE","16m 15s","975349"
"158448043","2026-05-31 23:19","200161","Clinton Road, Mile End","2026-05-31 23:23","200027","Ford Road, Old Ford","55736","CLASSIC","4m 9s","249949"
"158448044","2026-05-31 23:19","010621","Upper Grosvenor Street, Mayfair","2026-05-31 23:36","200201","Battersea Church Road, Battersea","64080","PBSC_EBIKE","16m 37s","997693"
"158448045","2026-05-31 23:19","001203","Eastbourne Mews, Paddington","2026-05-31 23:26","001128","Westbourne Green, Westbourne","59156","CLASSIC","7m 7s","427658"
"158448046","2026-05-31 23:19","300213","Monier Road, Hackney Wick","2026-05-31 23:55","300213","Monier Road, Hackney Wick","52904","CLASSIC","36m 4s","2164396"
"158448047","2026-05-31 23:19","001053","Clerkenwell Green, Clerkenwell","2026-05-31 23:41","003479","Old Brompton Road, South Kensington","60447","PBSC_EBIKE","21m 53s","1313133"
"158448048","2026-05-31 23:19","001096","Bayswater Road, Hyde Park","2026-05-31 23:38","022159","Ebury Bridge, Pimlico","58872","CLASSIC","18m 25s","1105847"
"158448049","2026-05-31 23:19","200230","Maplin Street, Mile End","2026-05-31 23:25","200013","Aston Street, Stepney","62286","PBSC_EBIKE","5m 45s","345859"
"158448050","2026-05-31 23:19","200172","Lansdowne Road, Ladbroke Grove","2026-05-31 23:27","200035","Walmer Road, Avondale","57626","CLASSIC","7m 53s","473234"
"158448051","2026-05-31 23:19","002696","Waterloo Station 1, Waterloo","2026-05-31 23:50","010625","Penfold Street, Marylebone","62000","PBSC_EBIKE","30m 54s","1854306"
"158448052","2026-05-31 23:20","001207","Tavistock Street, Covent Garden","2026-05-31 23:37","001213","Curlew Street, Shad Thames","35378","CLASSIC","17m 47s","1067035"
"158448035","2026-05-31 23:18","001011","Argyle Street, Kings Cross","2026-05-31 23:41","001096","Bayswater Road, Hyde Park","51748","CLASSIC","23m 25s","1405339"
"158448036","2026-05-31 23:18","003452","Panton Street, West End","2026-05-31 23:54","200202","Storey's Gate, Westminster","21029","CLASSIC","35m 54s","2154094"
"158448037","2026-05-31 23:18","010624","Strata, Elephant & Castle","2026-05-31 23:22","300063","Burgess Park Albany Road, Walworth","51171","CLASSIC","4m 35s","275549"
"158448038","2026-05-31 23:18","200145","Gloucester Avenue, Camden Town","2026-05-31 23:24","002686","Royal College Street, Camden Town","59663","CLASSIC","6m 2s","362838"
