source_file,raw_rows,silver_rows,quarantine_rows,delta
383JourneyDataExtract01Nov2023-14Nov2023.csv,301885,301885,0,0
384JourneyDataExtract15Nov2023-30Nov2023.csv,361446,361446,0,0
385JourneyDataExtract01Dec2023-14Dec2023.csv,263515,263515,0,0
386JourneyDataExtract15Dec2023-31Dec2023.csv,209428,209427,1,0
387JourneyDataExtract01Jan2024-14Jan2024.csv,212582,212582,0,0
388JourneyDataExtract15Jan2024-31Jan2024.csv,345145,345145,0,0
389JourneyDataExtract01Feb2024-14Feb2024.csv,272325,272325,0,0
390JourneyDataExtract15Feb2024-29Feb2024.csv,294935,294935,0,0
391JourneyDataExtract01Mar2024-14Mar2024.csv,283649,283648,1,0
392JourneyDataExtract15Mar2024-31Mar2024.csv,362360,362360,0,0
393JourneyDataExtract01Apr2024-14Apr2024.csv,315422,315421,1,0
394JourneyDataExtract15Apr2024-30Apr2024.csv,368229,368229,0,0
395JourneyDataExtract01May2024-14May2024.csv,374146,374146,0,0
396JourneyDataExtract15May2024-31May2024.csv,446416,446416,0,0
397JourneyDataExtract01Jun2024-14Jun2024.csv,386566,386565,1,0
398JourneyDataExtract15Jun2024-30Jun2024.csv,481348,481345,3,0
399JourneyDataExtract01Jul2024-14Jul2024.csv,362391,362391,0,0
400JourneyDataExtract15Jul2024-31Jul2024.csv,518772,518772,0,0
401JourneyDataExtract01Aug2024-14Aug2024.csv,411370,411369,1,0
402JourneyDataExtract15Aug2024-26Aug2024.csv,312551,312551,0,0
403JourneyDataExtract27Aug2024-17Sep2024.csv,602120,602120,0,0
404JourneyDataExtract18Sep2024-30Sep2024.csv,335129,335129,0,0
405JourneyDataExtract01Oct2024-14Oct2024.csv,355446,355446,0,0
406JourneyDataExtract15Oct2024-31Oct2024.csv,475738,475736,2,0
407JourneyDataExtract01Nov2024-14Nov2024.csv,364404,364403,1,0
408JourneyDataExtract15Nov2024-30Nov2024.csv,347508,347508,0,0
409JourneyDataExtract01Dec2024-14Dec2024.csv,288698,288697,1,0
410JourneyDataExtract15Dec2024-31Dec2024.csv,237902,237902,0,0
411JourneyDataExtract01Jan2025-14Jan2025.csv,213400,213400,0,0
412JourneyDataExtract15Jan2025-31Jan2025.csv,354634,354634,0,0
413JourneyDataExtract01Feb2025-14Feb2025.csv,285681,285681,0,0
414JourneyDataExtract15Feb2025-28Feb2025.csv,288603,288603,0,0
415JourneyDataExtract01Mar2025-14Mar2025.csv,349388,349388,0,0
416JourneyDataExtract15Mar2025-31Mar2025.csv,425739,425738,1,0
417JourneyDataExtract01Apr2025-14Apr2025.csv,368361,368361,0,0
418JourneyDataExtract15Apr2025-30Apr2025.csv,393071,393070,1,0
419JourneyDataExtract01May2025-14May2025.csv,404002,404001,1,0
420JourneyDataExtract14May2025-31May2025.csv,455584,455584,0,0
421JourneyDataExtract01Jun2025-15Jun2025.csv,397655,397592,63,0
422JourneyDataExtract15Jun2025-30Jun2025.csv,460783,460714,69,0
